iter	Logloss
0	0.6462221737
1	0.604859293
2	0.5711126148
3	0.5385967471
4	0.5117283433
5	0.4882598887
6	0.4682735176
7	0.4394449661
8	0.4077251568
9	0.3947707122
10	0.3825801633
11	0.3717344855
12	0.3561287286
13	0.3479474883
14	0.3407941134
15	0.3338800569
16	0.3181660593
17	0.3123944301
18	0.3070797239
19	0.3023184085
20	0.2986893255
21	0.2949603921
22	0.2915145303
23	0.2832350744
24	0.275368017
25	0.2731600759
26	0.2705869238
27	0.2683323451
28	0.2624297952
29	0.2590045158
30	0.2567868117
31	0.2548640012
32	0.2530666079
33	0.2516976585
34	0.2501987473
35	0.2479940142
36	0.2446965709
37	0.2435837589
38	0.2426734472
39	0.2417996913
40	0.2406833525
41	0.2398591903
42	0.2377100736
43	0.2343222317
44	0.2329933161
45	0.2314335317
46	0.2299226365
47	0.2288763504
48	0.228130829
49	0.2270995112
50	0.2260293061
51	0.2252688626
52	0.2243545923
53	0.2236699492
54	0.2230287614
55	0.2224127623
56	0.2203274442
57	0.2190867293
58	0.2179943789
59	0.2172400457
60	0.2156363048
61	0.2150415642
62	0.2142659172
63	0.2137642781
64	0.2128375868
65	0.212261601
66	0.2104672602
67	0.2096768364
68	0.2070579966
69	0.206188058
70	0.2056750287
71	0.2051556785
72	0.2046690771
73	0.2042632103
74	0.2038148407
75	0.2033958191
76	0.2015965621
77	0.2012010623
78	0.2007796912
79	0.2002321922
80	0.199245494
81	0.1987719844
82	0.1971703038
83	0.1959849908
84	0.1956204905
85	0.1951301104
86	0.1941555941
87	0.1929420615
88	0.1925777065
89	0.1920797908
90	0.1911849667
91	0.1905056357
92	0.1891868198
93	0.1887949252
94	0.1883732611
95	0.1876278669
96	0.1872031901
97	0.1866327784
98	0.1861661772
99	0.1848438422
100	0.1846092782
101	0.1843484174
102	0.1839300102
103	0.1835846837
104	0.1831842137
105	0.1827284255
106	0.1824972405
107	0.1820197247
108	0.1817629125
109	0.1813267466
110	0.1809547802
111	0.1806140769
112	0.1803894737
113	0.1801092348
114	0.1796776278
115	0.1792707289
116	0.179085121
117	0.1786546489
118	0.1776046804
119	0.1772439191
120	0.1760979611
121	0.175839455
122	0.1755982846
123	0.1753049591
124	0.1749647685
125	0.1744662372
126	0.174232321
127	0.173655492
128	0.1735092636
129	0.173155471
130	0.1729146669
131	0.1725781382
132	0.1720301289
133	0.1718309279
