iter	Passed	Remaining
0	34	34488
1	66	33349
2	96	32018
3	129	32250
4	163	32511
5	197	32643
6	229	32489
7	259	32179
8	289	31914
9	320	31695
10	349	31411
11	379	31269
12	410	31179
13	443	31208
14	472	31040
15	501	30839
16	531	30743
17	559	30510
18	589	30436
19	619	30366
20	652	30415
21	686	30504
22	717	30476
23	749	30483
24	787	30720
25	825	30913
26	862	31088
27	895	31099
28	929	31135
29	961	31076
30	992	31008
31	1023	30953
32	1054	30894
33	1086	30881
34	1119	30858
35	1151	30825
36	1184	30833
37	1218	30837
38	1252	30851
39	1285	30858
40	1318	30850
41	1349	30790
42	1382	30765
43	1415	30750
44	1447	30721
45	1479	30682
46	1513	30679
47	1544	30637
48	1575	30581
49	1610	30592
50	1641	30548
51	1673	30517
52	1708	30519
53	1739	30481
54	1792	30800
55	1824	30759
56	1858	30739
57	1883	30588
58	1911	30481
59	1941	30421
60	1971	30352
61	2000	30271
62	2031	30211
63	2061	30154
64	2092	30099
65	2121	30020
66	2150	29952
67	2180	29882
68	2210	29823
69	2239	29748
70	2268	29686
71	2298	29624
72	2328	29573
73	2359	29522
74	2388	29461
75	2419	29413
76	2448	29349
77	2478	29296
78	2508	29240
79	2537	29184
80	2567	29133
81	2595	29061
82	2625	29002
83	2656	28966
84	2687	28927
85	2717	28876
86	2746	28822
87	2777	28784
88	2809	28756
89	2842	28738
90	2884	28813
91	2918	28805
92	2948	28752
93	2975	28678
94	3005	28633
95	3040	28631
96	3070	28587
97	3099	28531
98	3126	28456
99	3155	28400
100	3185	28353
101	3214	28304
102	3246	28272
103	3274	28213
104	3304	28163
105	3333	28113
106	3362	28062
107	3391	28014
108	3424	27991
109	3449	27913
110	3479	27864
111	3506	27801
112	3536	27759
113	3565	27709
114	3594	27662
115	3623	27613
116	3652	27564
117	3680	27512
118	3708	27456
119	3738	27417
120	3769	27382
121	3798	27337
122	3828	27295
123	3857	27252
124	3885	27199
125	3913	27147
126	3945	27122
127	3976	27089
128	4005	27043
129	4033	26992
130	4063	26954
131	4093	26917
132	4121	26865
133	4150	26825
134	4180	26784
135	4209	26741
136	4237	26695
137	4266	26649
138	4296	26616
139	4325	26571
140	4354	26527
141	4391	26532
142	4416	26469
143	4443	26413
144	4472	26370
145	4501	26328
146	4530	26291
147	4559	26248
148	4588	26209
149	4619	26176
150	4647	26131
151	4677	26095
152	4707	26061
153	4736	26022
154	4762	25963
155	4793	25931
156	4821	25887
157	4850	25849
158	4879	25809
159	4908	25772
160	4937	25730
161	4966	25689
162	4995	25650
163	5024	25614
164	5055	25584
165	5084	25547
166	5113	25508
167	5142	25468
168	5172	25432
169	5201	25394
170	5230	25355
171	5260	25322
172	5289	25286
173	5321	25259
174	5351	25227
175	5380	25191
176	5410	25157
177	5437	25111
178	5466	25074
179	5494	25031
180	5523	24995
181	5552	24954
182	5580	24913
183	5609	24877
184	5638	24840
185	5666	24799
186	5696	24767
187	5727	24738
188	5755	24698
189	5784	24659
190	5812	24620
191	5842	24585
192	5873	24558
193	5902	24524
194	5930	24483
195	5957	24437
196	5986	24400
197	6015	24365
198	6042	24323
199	6071	24284
200	6100	24250
201	6129	24213
202	6156	24172
203	6184	24132
204	6214	24099
205	6243	24064
206	6274	24035
207	6304	24006
208	6334	23972
209	6362	23935
210	6390	23896
211	6419	23860
212	6448	23824
213	6476	23788
214	6504	23750
215	6534	23717
216	6563	23684
217	6594	23653
218	6622	23618
219	6652	23585
220	6680	23546
221	6707	23506
222	6736	23472
223	6766	23440
224	6795	23408
225	6826	23378
226	6856	23347
227	6886	23316
228	6915	23282
229	6944	23248
230	6974	23217
231	7004	23186
232	7033	23152
233	7062	23119
234	7091	23085
235	7120	23052
236	7149	23016
237	7178	22983
238	7206	22945
239	7234	22909
240	7263	22874
241	7291	22837
242	7318	22797
243	7346	22761
244	7376	22732
245	7404	22694
246	7434	22664
247	7464	22634
248	7493	22602
249	7521	22565
250	7550	22530
251	7578	22494
252	7606	22460
253	7634	22422
254	7665	22393
255	7693	22358
256	7723	22328
257	7752	22296
258	7781	22263
259	7811	22232
260	7840	22199
261	7868	22165
262	7897	22132
263	7926	22097
264	7954	22063
265	7984	22032
266	8013	22000
267	8043	21968
268	8071	21934
269	8100	21900
270	8129	21869
271	8160	21840
272	8188	21805
273	8215	21768
274	8244	21735
275	8273	21702
276	8304	21675
277	8332	21639
278	8363	21614
279	8392	21581
280	8419	21542
281	8443	21497
282	8471	21464
283	8501	21432
284	8530	21399
285	8558	21365
286	8586	21332
287	8614	21297
288	8643	21264
289	8671	21230
290	8700	21198
291	8729	21166
292	8757	21132
293	8786	21100
294	8828	21099
295	8894	21153
296	8968	21227
297	9010	21226
298	9039	21194
299	9068	21159
300	9098	21128
301	9127	21095
302	9155	21061
303	9184	21026
304	9213	20993
305	9241	20958
306	9269	20925
307	9299	20893
308	9327	20859
309	9357	20828
310	9386	20795
311	9416	20765
312	9448	20737
313	9477	20706
314	9506	20673
315	9537	20644
316	9567	20613
317	9595	20579
318	9624	20546
319	9653	20512
320	9682	20481
321	9713	20452
322	9741	20418
323	9771	20387
324	9799	20353
325	9828	20320
326	9858	20289
327	9886	20255
328	9914	20221
329	9945	20191
330	9974	20160
331	10005	20131
332	10034	20099
333	10064	20067
334	10092	20034
335	10121	20002
336	10150	19969
337	10179	19936
338	10208	19904
339	10236	19871
340	10265	19838
341	10294	19805
342	10322	19773
343	10351	19740
344	10378	19704
345	10407	19672
346	10438	19643
347	10467	19610
348	10495	19576
349	10523	19543
350	10552	19510
351	10580	19478
352	10609	19446
353	10639	19415
354	10668	19383
355	10700	19356
356	10729	19325
357	10757	19291
358	10786	19260
359	10816	19229
360	10846	19198
361	10875	19167
362	10903	19133
363	10933	19103
364	10963	19073
365	10993	19043
366	11022	19011
367	11051	18980
368	11080	18948
369	11110	18918
370	11140	18887
371	11168	18853
372	11196	18820
373	11225	18788
374	11252	18754
375	11281	18722
376	11310	18691
377	11339	18659
378	11369	18629
379	11398	18597
380	11426	18564
381	11458	18537
382	11486	18504
383	11515	18472
384	11544	18441
385	11573	18409
386	11601	18376
387	11630	18345
388	11660	18315
389	11691	18286
390	11721	18256
391	11749	18224
392	11779	18193
393	11808	18162
394	11838	18131
395	11866	18099
396	11895	18067
397	11924	18037
398	11954	18006
399	11982	17974
400	12011	17942
401	12041	17912
402	12073	17885
403	12102	17853
404	12130	17820
405	12159	17789
406	12184	17752
407	12208	17714
408	12236	17681
409	12263	17647
410	12291	17615
411	12323	17587
412	12350	17554
413	12376	17518
414	12400	17479
415	12427	17446
416	12452	17409
417	12483	17381
