iter	Passed	Remaining
0	216	216497
1	280	140126
2	332	110546
3	382	95342
4	433	86344
5	488	80996
6	543	77147
7	596	73914
8	649	71565
9	709	70272
10	757	68084
11	801	66005
12	855	64962
13	903	63654
14	960	63045
15	1016	62510
16	1065	61600
17	1116	60916
18	1163	60068
19	1223	59949
20	1274	59413
21	1329	59098
22	1377	58518
23	1422	57829
24	1476	57599
25	1532	57417
26	1585	57125
27	1648	57231
28	1705	57105
29	1757	56836
30	1811	56618
31	1859	56254
32	1907	55900
33	1961	55723
34	2007	55362
35	2057	55096
36	2112	54972
37	2168	54901
38	2226	54864
39	2276	54646
40	2323	54356
41	2378	54251
42	2428	54048
43	2484	53988
44	2536	53834
45	2593	53789
46	2642	53580
47	2691	53375
48	2743	53246
49	2795	53108
50	2847	52991
51	2898	52840
52	2948	52681
53	3004	52642
54	3057	52537
55	3114	52496
56	3174	52515
57	3229	52457
58	3281	52337
59	3331	52189
60	3382	52073
61	3433	51939
62	3488	51886
63	3544	51840
64	3593	51698
65	3642	51549
66	3696	51472
67	3743	51303
68	3798	51251
69	3845	51084
70	3899	51021
71	3952	50940
72	4006	50873
73	4057	50770
74	4109	50683
75	4161	50601
76	4213	50503
77	4263	50397
78	4311	50263
79	4361	50152
80	4409	50034
81	4461	49941
82	4513	49862
83	4567	49808
84	4623	49768
85	4672	49663
86	4721	49544
87	4787	49618
88	4842	49570
89	4905	49599
90	4961	49557
91	5020	49551
92	5069	49441
93	5118	49335
94	5174	49289
95	5229	49241
96	5278	49140
97	5334	49095
98	5387	49034
99	5445	49006
100	5505	49002
101	5560	48950
102	5614	48898
103	5668	48832
104	5719	48749
105	5767	48642
106	5826	48630
107	5882	48586
108	5933	48504
109	5987	48443
110	6036	48343
111	6111	48452
112	6161	48364
113	6210	48265
114	6261	48183
115	6318	48152
116	6375	48114
117	6445	48175
118	6511	48208
119	6575	48222
120	6632	48181
121	6683	48098
122	6731	47999
123	6774	47855
124	6824	47771
125	6881	47732
126	6935	47671
127	6980	47556
128	7031	47476
129	7079	47379
130	7131	47309
131	7187	47262
132	7238	47185
133	7287	47099
134	7338	47022
135	7396	46989
136	7448	46923
137	7502	46862
138	7554	46792
139	7607	46730
140	7652	46622
141	7706	46563
142	7757	46489
143	7811	46437
144	7869	46401
145	7917	46313
146	7968	46239
147	8021	46176
148	8074	46115
149	8128	46058
150	8181	46001
151	8240	45972
152	8297	45932
153	8349	45865
154	8400	45796
155	8450	45719
156	8499	45638
157	8550	45568
158	8603	45505
159	8652	45423
160	8707	45373
161	8812	45584
162	8867	45532
163	8918	45460
164	8969	45388
165	9019	45315
166	9073	45258
167	9124	45189
168	9175	45115
169	9221	45024
170	9269	44939
171	9311	44826
172	9361	44752
173	9412	44682
174	9462	44607
175	9513	44538
176	9563	44466
177	9611	44386
178	9659	44306
179	9709	44230
180	9761	44168
181	9811	44096
182	9865	44043
183	9922	44005
184	9979	43965
185	10030	43899
186	10084	43841
187	10140	43798
188	10189	43721
189	10244	43673
190	10300	43629
191	10361	43602
192	10419	43569
193	10478	43536
194	10535	43492
195	10590	43444
196	10648	43404
197	10702	43348
198	10758	43304
199	10816	43267
200	10877	43237
201	10934	43198
202	10989	43146
203	11045	43100
204	11104	43062
205	11156	43000
206	11213	42958
207	11277	42942
208	11337	42908
209	11392	42856
210	11446	42801
211	11503	42756
212	11557	42701
213	11610	42645
214	11671	42614
215	11721	42543
216	11777	42494
217	11840	42473
218	11900	42439
219	11978	42470
220	12034	42418
221	12090	42370
222	12142	42308
223	12194	42245
224	12251	42199
225	12301	42131
226	12352	42064
227	12404	42000
228	12454	41933
229	12510	41883
230	12563	41822
231	12617	41767
232	12673	41720
233	12732	41679
234	12783	41615
235	12835	41553
236	12939	41657
237	12997	41614
238	13050	41555
239	13110	41515
240	13170	41479
241	13229	41437
242	13290	41401
243	13345	41348
244	13405	41310
245	13456	41243
246	13511	41190
247	13568	41144
248	13626	41098
249	13686	41060
250	13744	41013
251	13802	40969
252	13861	40928
253	13921	40886
254	13978	40839
255	14033	40784
256	14087	40728
257	14140	40667
258	14187	40589
259	14245	40544
260	14299	40488
261	14347	40413
262	14400	40353
263	14454	40297
264	14505	40233
265	14552	40155
266	14602	40089
267	14653	40024
268	14702	39953
269	14757	39900
270	14811	39842
271	14864	39785
272	14923	39741
273	14976	39683
274	15026	39614
275	15083	39566
276	15134	39503
277	15180	39425
278	15230	39358
279	15281	39294
280	15332	39230
281	15379	39156
282	15436	39109
283	15514	39115
284	15561	39039
285	15614	38982
286	15670	38931
287	15723	38871
288	15775	38812
289	15823	38739
290	15871	38668
291	15925	38612
292	15976	38551
293	16029	38492
294	16084	38439
295	16134	38373
296	16185	38312
297	16229	38231
298	16275	38156
299	16347	38143
300	16404	38094
301	16457	38038
302	16511	37982
303	16573	37944
304	16632	37900
305	16690	37853
306	16748	37805
307	16803	37754
308	16857	37697
309	16905	37629
310	16951	37554
311	17004	37497
312	17053	37430
313	17103	37366
314	17155	37306
315	17206	37243
316	17257	37181
317	17309	37123
318	17372	37085
319	17443	37067
320	17509	37037
321	17567	36990
322	17625	36943
323	17682	36892
324	17737	36840
325	17795	36791
326	17852	36742
327	17902	36678
328	17951	36612
329	18006	36559
330	18083	36548
331	18136	36491
332	18190	36435
333	18237	36365
334	18287	36301
335	18332	36229
336	18380	36161
337	18431	36099
338	18476	36027
339	18532	35974
340	18590	35927
341	18640	35863
342	18691	35803
343	18747	35750
344	18792	35678
345	18841	35614
346	18885	35540
347	18938	35481
348	18989	35421
349	19044	35367
350	19099	35315
351	19159	35270
352	19215	35218
353	19274	35172
354	19330	35121
355	19381	35060
356	19431	34998
357	19486	34945
358	19534	34878
359	19583	34815
360	19636	34759
361	19687	34698
362	19740	34641
363	19789	34576
364	19838	34514
365	19887	34449
366	19940	34393
367	19991	34333
368	20041	34271
369	20093	34212
370	20142	34150
371	20201	34103
372	20246	34033
373	20301	33980
374	20349	33915
375	20404	33862
376	20455	33802
377	20503	33739
378	20556	33682
379	20605	33618
380	20658	33563
381	20709	33504
382	20764	33451
383	20814	33389
384	20870	33338
385	20923	33281
386	20975	33225
387	21026	33165
388	21080	33111
389	21134	33056
390	21211	33038
391	21265	32983
392	21314	32921
393	21364	32859
394	21415	32800
395	21468	32745
396	21522	32690
397	21573	32631
398	21626	32575
399	21677	32516
400	21730	32460
401	21785	32406
402	21843	32358
403	21897	32304
404	21951	32250
405	22008	32199
406	22061	32143
407	22115	32088
408	22169	32034
409	22220	31976
410	22270	31915
411	22322	31858
412	22376	31803
413	22424	31740
414	22476	31683
415	22527	31625
416	22579	31567
417	22631	31511
418	22686	31457
419	22730	31389
420	22786	31337
421	22830	31270
422	22877	31205
423	22927	31146
424	22974	31083
425	23023	31022
426	23071	30960
427	23116	30893
428	23158	30824
429	23213	30770
430	23263	30712
431	23309	30647
432	23362	30592
